"","city","starbucks_count","peets_count","median_age","median_household_income","X2010_population","p_white","land_area"
"Sonora","Sonora",3,0,39.7,31424,4903,90,3.06
"South El Monte","South El Monte",0,0,NA,NA,NA,NA,NA
"South Gate","South Gate",3,0,29.4,41990,94396,50,7.24
"South Lake Tahoe","South Lake Tahoe",4,0,35.6,41685,21403,74,10.16
"South Pasadena","South Pasadena",3,0,40.1,84914,25619,54,3.41
"South San Francisco","South San Francisco",3,1,38.1,75543,63632,37,9.14
"St. Helena","St. Helena",0,0,NA,NA,NA,NA,NA
"Stanton","Stanton",1,0,33,51933,38186,44,3.15
"Stockton","Stockton",16,1,30.8,47365,291707,37,61.67
"Suisun City","Suisun City",1,0,33,71411,28111,38,4.11
"Sunnyvale","Sunnyvale",11,2,35.6,93292,140081,43,21.99
"Susanville","Susanville",2,0,33.6,49160,17947,63,7.93
"Sutter Creek","Sutter Creek",0,0,NA,NA,NA,NA,NA
"Taft","Taft",1,0,34.9,46136,9327,79,15.11
"Tehachapi","Tehachapi",1,0,34.4,46250,14414,65,9.87
"Tehama","Tehama",0,0,NA,NA,NA,NA,NA
"Temecula","Temecula",11,0,33.4,76276,100097,71,30.15
"Temple City","Temple City",1,0,42,65445,35558,34,4.01
"Thousand Oaks","Thousand Oaks",15,1,41.5,100373,126683,80,55.03
"Tiburon","Tiburon",0,1,NA,NA,NA,NA,NA
"Torrance","Torrance",17,1,41.3,75885,145438,51,20.48
"Tracy","Tracy",6,0,32.3,76739,82922,53,22
"Trinidad","Trinidad",0,0,NA,NA,NA,NA,NA
"Truckee","Truckee",3,0,38,68173,16180,86,32.32
"Tulare","Tulare",2,0,29.1,46274,59278,61,20.93
"Tulelake","Tulelake",0,0,NA,NA,NA,NA,NA
"Turlock","Turlock",6,0,32.5,50862,68549,70,16.93
"Tustin","Tustin",7,0,33.4,73231,75540,53,11.08
"Twentynine Palms","Twentynine Palms",1,0,23.5,43412,25048,72,59.14
"Ukiah","Ukiah",3,0,35.9,45577,16075,72,4.67
"Union City","Union City",5,0,36.2,82634,69516,24,19.47
"Upland","Upland",4,0,36.1,67449,73732,66,15.62
"Vacaville","Vacaville",8,0,37.2,73302,92428,66,28.37
"Vallejo","Vallejo",6,0,37.9,62325,115942,33,30.67
"Ventura","Ventura",12,2,39,66226,106433,77,21.65
"Vernon","Vernon",0,0,NA,NA,NA,NA,NA
"Victorville","Victorville",6,0,29.5,52357,115903,49,73.18
"Villa Park","Villa Park",0,0,NA,NA,NA,NA,NA
"Visalia","Visalia",9,0,31.6,54019,124442,64,36.25
"Vista","Vista",8,0,31.1,50777,93834,63,18.68
"Walnut","Walnut",2,0,43.1,101358,29172,24,8.99
"Walnut Creek","Walnut Creek",13,0,47.9,84722,64173,79,19.76
"Wasco","Wasco",0,0,NA,NA,NA,NA,NA
"Waterford","Waterford",0,0,NA,NA,NA,NA,NA
"Watsonville","Watsonville",2,0,29.2,46073,51199,44,6.69
"Weed","Weed",0,0,NA,NA,NA,NA,NA
"West Covina","West Covina",6,0,36,68308,106098,43,16.04
"West Hollywood","West Hollywood",0,0,NA,NA,NA,NA,NA
"West Sacramento","West Sacramento",0,0,NA,NA,NA,NA,NA
"Westlake Village","Westlake Village",3,0,48.7,113852,8270,89,5.19
"Westminster","Westminster",7,0,38.7,56867,89701,36,10.05
"Westmorland","Westmorland",0,0,NA,NA,NA,NA,NA
"Wheatland","Wheatland",0,0,NA,NA,NA,NA,NA
"Whittier","Whittier",7,0,35.4,68055,85331,65,14.65
"Wildomar","Wildomar",3,0,34.6,63519,32176,70,23.69
"Williams","Williams",0,0,NA,NA,NA,NA,NA
"Willits","Willits",1,0,37.8,41195,4888,79,2.8
"Willows","Willows",1,0,32.6,43493,6166,70,2.85
"Windsor","Windsor",4,0,37,77157,26801,74,7.27
"Winters","Winters",0,0,NA,NA,NA,NA,NA
"Woodlake","Woodlake",0,0,NA,NA,NA,NA,NA
"Woodland","Woodland",5,0,33.7,56859,55468,63,15.3
"Woodside","Woodside",0,0,NA,NA,NA,NA,NA
"Yorba Linda","Yorba Linda",3,0,41.7,115291,64234,75,19.48
"Yountville","Yountville",0,0,NA,NA,NA,NA,NA
"Yreka","Yreka",1,0,41.7,31151,7765,84,9.98
"Yuba City","Yuba City",5,0,33,48830,64925,58,14.58
"Yucaipa","Yucaipa",3,0,37.8,59596,51367,79,27.89
"Yucca Valley","Yucca Valley",1,0,40.6,45502,20700,83,40.02
